# Oscilloscope Data

# Seconds	force_sensor_L.force_kg
0.000	2.30584e+18
0.010	2.30584e+18
0.020	2.30584e+18
0.030	2.30584e+18
0.040	2.30584e+18
0.050	2.30584e+18
0.060	2.30584e+18
0.070	2.30584e+18
0.080	2.30584e+18
0.090	2.30584e+18
0.100	2.30584e+18
0.110	2.30584e+18
0.120	2.30584e+18
0.130	2.30584e+18
0.140	2.30584e+18
0.150	2.30584e+18
0.160	2.30584e+18
0.170	2.30584e+18
0.180	2.30584e+18
0.190	2.30584e+18
0.200	2.30584e+18
0.210	2.30584e+18
0.220	2.30584e+18
0.230	2.30584e+18
0.240	2.30584e+18
0.250	2.30584e+18
0.260	2.30584e+18
0.270	2.30584e+18
0.280	2.30584e+18
0.290	2.30584e+18
0.300	2.30584e+18
0.310	2.30584e+18
0.320	2.30584e+18
0.330	2.30584e+18
0.340	2.30584e+18
0.350	2.30584e+18
0.360	2.30584e+18
0.370	2.30584e+18
0.380	2.30584e+18
0.390	2.30584e+18
0.400	2.30584e+18
0.410	2.30584e+18
0.420	2.30584e+18
0.430	2.30584e+18
0.440	2.30584e+18
0.450	2.30584e+18
0.460	2.30584e+18
0.470	2.30584e+18
0.480	2.30584e+18
0.490	2.30584e+18
0.500	2.30584e+18
0.510	2.30584e+18
0.520	2.30584e+18
0.530	2.30584e+18
0.540	2.30584e+18
0.550	2.30584e+18
0.560	2.30584e+18
0.570	2.30584e+18
0.580	2.30584e+18
0.590	2.30584e+18
0.600	2.30584e+18
0.610	2.30584e+18
0.620	2.30584e+18
0.630	2.30584e+18
0.644	2.30584e+18
0.650	2.30584e+18
0.660	2.30584e+18
0.670	2.30584e+18
0.680	2.30584e+18
0.690	2.30584e+18
0.700	2.30584e+18
0.710	2.30584e+18
0.720	2.30584e+18
0.730	2.30584e+18
0.740	2.30584e+18
0.750	2.30584e+18
0.760	2.30584e+18
0.770	2.30584e+18
0.780	2.30584e+18
0.790	2.30584e+18
0.800	2.30584e+18
0.810	2.30584e+18
0.820	2.30584e+18
0.830	2.30584e+18
0.840	2.30584e+18
0.850	2.30584e+18
0.860	2.30584e+18
0.870	2.30584e+18
0.880	2.30584e+18
0.890	2.30584e+18
0.900	2.30584e+18
0.910	2.30584e+18
0.920	2.30584e+18
0.933	2.30584e+18
0.940	2.30584e+18
0.950	2.30584e+18
0.960	2.30584e+18
0.970	2.30584e+18
0.980	2.30584e+18
0.990	2.30584e+18
1.002	2.30584e+18
1.010	2.30584e+18
1.020	2.30584e+18
1.030	2.30584e+18
1.040	2.30584e+18
1.050	2.30584e+18
1.060	2.30584e+18
1.070	2.30584e+18
1.080	2.30584e+18
1.090	2.30584e+18
1.100	2.30584e+18
1.110	2.30584e+18
1.120	2.30584e+18
1.130	2.30584e+18
1.140	2.30584e+18
1.150	2.30584e+18
1.160	2.30584e+18
