# Oscilloscope Data

# Seconds	force_sensor_L.filtered_adc
0.000	32751
0.012	32750
0.019	32748
0.029	32749
0.039	32746
0.049	32750
0.059	32753
0.069	32749
0.079	32750
0.089	32751
0.099	32751
0.109	32749
0.119	32755
0.129	32751
0.139	32751
0.149	32751
0.159	32747
0.169	32747
0.179	32745
0.189	32748
0.199	32748
0.209	32751
0.219	32750
0.229	32749
0.239	32748
0.249	32746
0.259	32749
0.269	32745
0.279	32749
0.289	32749
0.299	32749
0.309	32747
0.319	32748
0.329	32751
0.341	32745
0.351	32748
0.369	32748
0.372	32752
0.379	32749
0.389	32744
0.399	32750
0.409	32746
0.419	32748
0.429	32747
0.439	32751
0.449	32749
0.459	32748
0.469	32745
0.479	32749
0.489	32749
0.499	32745
0.509	32750
0.519	32749
0.529	32749
0.539	32742
0.549	32746
0.559	32748
0.569	32751
0.580	32749
0.591	32750
0.601	32749
0.611	32749
0.621	32749
0.629	32746
0.639	32749
0.649	32746
0.659	32746
0.669	32745
0.679	32748
0.689	32749
0.699	32750
0.709	32748
0.719	32749
0.729	32748
0.739	32750
0.749	32746
0.759	32746
0.769	32748
0.779	32750
0.790	32750
0.799	32748
0.809	32748
0.819	32747
0.829	32748
0.839	32745
0.849	32752
0.859	32750
0.869	32751
0.879	32747
0.889	32751
0.899	32749
0.909	32751
0.919	32751
0.929	32752
0.953	32749
0.970	32749
0.989	32750
1.009	32747
1.017	32749
1.036	32749
1.039	32750
1.049	32750
1.078	32748
1.087	32750
1.093	32748
1.121	32749
1.137	32751
1.153	32746
1.173	32748
1.182	32749
1.189	32746
1.199	32748
1.220	32746
1.239	32748
1.249	32749
1.259	32746
1.287	32749
1.298	32746
1.310	32750
1.319	32751
1.329	32746
1.339	32751
1.354	32743
1.359	32745
1.369	32744
1.379	32752
1.389	32746
1.399	32748
1.409	32747
1.419	32749
1.429	32746
1.439	32749
1.449	32752
1.459	32747
1.469	32751
1.479	32745
1.489	32744
1.499	32740
1.509	32743
1.519	32713
1.529	32716
1.539	32718
1.549	32705
1.559	32686
1.569	32685
1.579	32679
1.589	32673
1.599	32676
1.609	32681
1.619	32692
1.629	32701
1.639	32725
1.649	32727
1.659	32744
1.669	32745
1.679	32752
1.689	32750
1.699	32752
1.709	32750
1.719	32753
1.729	32757
1.739	32760
1.749	32761
1.759	32761
1.769	32760
1.779	32760
1.789	32761
1.799	32759
1.809	32758
1.819	32759
1.829	32754
1.839	32758
1.849	32763
1.859	32764
1.869	32764
1.879	32756
1.889	32752
1.899	32745
1.909	32729
1.919	32708
1.929	32681
1.939	32697
1.949	32725
1.959	32729
1.969	32707
1.979	32701
1.989	32693
1.999	32725
2.009	32702
2.019	32692
2.029	32705
2.039	32716
2.049	32735
2.059	32747
2.069	32751
2.079	32757
2.089	32761
2.099	32761
2.109	32762
2.119	32762
2.129	32759
2.139	32754
2.149	32752
2.159	32755
2.169	32757
2.179	32762
2.190	32764
2.199	32767
2.209	32767
2.219	32767
2.229	32766
2.239	32767
2.249	32767
2.259	32768
2.269	32769
2.279	32771
2.289	32774
2.299	32778
2.309	32783
2.319	32797
2.329	32812
2.339	32835
2.349	32868
2.359	32880
2.369	32885
2.379	32889
2.389	32896
2.399	32896
2.409	32887
2.419	32894
2.429	32911
2.439	32927
2.449	32939
2.459	32958
2.469	32920
2.479	32925
2.489	32963
2.499	32974
2.509	32994
2.519	33023
2.529	33038
2.539	33060
2.549	33074
2.559	33091
2.569	33110
2.579	33130
2.589	33152
2.599	33161
2.609	33197
2.619	33231
2.629	33292
2.639	33319
2.649	33350
2.659	33391
2.669	33455
2.679	33482
2.689	33521
2.699	33557
2.709	33587
2.719	33635
2.729	33669
2.739	33706
2.749	33747
2.759	33789
2.769	33819
2.779	33831
2.789	33840
2.799	33864
2.809	33875
2.819	33879
2.829	33883
2.839	33884
2.849	33886
2.859	33892
2.869	33904
2.879	33928
2.889	33953
2.899	33981
2.909	34001
2.919	34025
2.929	34046
2.939	34071
2.949	34091
2.959	34096
2.969	34105
2.979	34115
2.989	34123
2.999	34125
3.009	34123
3.019	34115
3.029	34096
3.039	34094
3.049	34096
3.059	34095
3.069	34083
3.079	34061
3.089	34031
3.099	33999
3.109	33962
3.119	33918
3.129	33873
3.139	33821
3.149	33774
3.159	33734
3.169	33700
3.179	33672
3.189	33667
3.199	33650
3.209	33633
3.219	33604
3.229	33579
3.239	33547
3.249	33514
3.259	33487
3.269	33454
3.279	33434
3.289	33427
3.299	33423
3.309	33415
3.319	33404
3.329	33377
3.339	33353
3.349	33314
3.359	33266
3.369	33221
3.379	33185
3.389	33144
3.399	33125
3.409	33116
3.419	33116
3.429	33111
3.439	33091
3.449	33069
3.459	33055
3.469	33008
3.479	32958
3.489	32851
3.499	32812
3.509	32832
3.519	32824
3.529	32790
3.539	32774
3.549	32769
3.559	32767
3.569	32766
3.579	32764
3.589	32759
3.599	32755
3.609	32757
3.619	32755
3.629	32751
3.639	32757
3.649	32756
3.659	32755
3.669	32755
3.679	32755
3.689	32751
3.699	32752
3.709	32752
3.719	32754
3.729	32755
3.739	32754
3.749	32755
3.759	32758
3.769	32755
3.779	32756
3.789	32755
3.799	32759
3.809	32759
3.819	32760
3.829	32761
3.839	32759
3.849	32759
3.859	32757
3.869	32754
3.879	32757
3.889	32754
3.899	32754
3.909	32756
3.919	32757
3.929	32757
3.939	32757
3.949	32758
3.959	32755
3.969	32758
3.984	32759
3.989	32758
3.999	32755
4.009	32758
4.019	32757
4.029	32758
4.039	32754
4.049	32757
4.059	32758
4.069	32762
4.079	32762
4.089	32761
4.099	32761
4.109	32762
4.119	32759
4.129	32760
4.139	32757
4.149	32755
4.159	32759
4.169	32758
4.179	32757
4.189	32760
4.199	32763
4.209	32763
4.219	32761
4.229	32764
4.239	32761
4.249	32761
4.259	32759
4.269	32760
4.279	32761
4.289	32761
4.299	32764
4.309	32764
4.319	32762
4.329	32764
4.339	32766
4.349	32765
4.359	32765
4.369	32765
4.379	32765
4.389	32765
4.399	32763
4.409	32760
4.419	32758
4.429	32757
4.439	32754
4.449	32755
4.459	32751
4.469	32750
4.479	32751
4.489	32747
4.499	32742
4.509	32737
4.519	32726
4.529	32737
4.539	32739
4.549	32736
4.559	32738
4.569	32737
4.579	32736
4.589	32738
4.599	32738
4.609	32741
4.619	32743
4.629	32749
4.639	32748
4.649	32752
4.659	32749
4.669	32752
4.679	32756
4.689	32755
4.699	32753
4.709	32749
4.719	32750
