# Oscilloscope Data

# Seconds	force_sensor_R.filtered_adc
0.000	33725
0.009	33726
0.019	33725
0.029	33728
0.039	33726
0.049	33725
0.059	33723
0.069	33726
0.079	33722
0.089	33726
0.099	33723
0.109	33723
0.119	33726
0.129	33726
0.139	33726
0.149	33724
0.159	33724
0.169	33725
0.179	33723
0.189	33725
0.199	33725
0.209	33726
0.219	33724
0.229	33728
0.239	33724
0.249	33724
0.259	33724
0.269	33725
0.279	33724
0.289	33725
0.299	33725
0.309	33725
0.319	33725
0.329	33726
0.339	33724
0.349	33725
0.359	33726
0.369	33727
0.380	33724
0.398	33726
0.413	33726
0.419	33724
0.429	33725
0.439	33724
0.449	33726
0.459	33728
0.469	33726
0.479	33723
0.489	33724
0.499	33722
0.509	33724
0.519	33723
0.529	33725
0.539	33726
0.549	33725
0.559	33724
0.569	33728
0.579	33724
0.589	33726
0.599	33721
0.609	33724
0.619	33724
0.629	33726
0.639	33724
0.649	33721
0.659	33722
0.669	33725
0.679	33722
0.689	33725
0.699	33723
0.709	33724
0.719	33724
0.729	33725
0.739	33724
0.749	33722
0.759	33725
0.769	33725
0.779	33722
0.789	33724
0.799	33725
0.809	33724
0.819	33724
0.829	33727
0.839	33725
0.849	33724
0.859	33725
0.869	33726
0.879	33726
0.889	33723
0.899	33725
0.909	33725
0.919	33724
0.929	33724
0.939	33725
0.949	33726
0.959	33722
0.969	33726
0.979	33725
0.989	33725
0.999	33727
1.009	33726
1.019	33726
1.029	33726
1.039	33724
1.049	33724
1.059	33724
1.069	33724
1.079	33724
1.089	33728
1.099	33727
1.109	33726
1.119	33723
1.129	33727
1.139	33723
1.149	33724
1.159	33725
1.169	33725
1.179	33726
1.189	33725
1.203	33727
1.209	33726
1.219	33724
1.229	33726
1.239	33721
1.249	33726
1.259	33725
1.269	33727
1.279	33728
1.289	33729
1.299	33726
1.309	33724
1.319	33724
1.329	33726
1.339	33724
1.349	33726
1.359	33726
1.369	33723
1.379	33726
1.389	33723
1.399	33723
1.409	33723
1.419	33725
1.429	33724
1.439	33722
1.449	33725
1.459	33727
1.469	33722
1.479	33722
1.489	33724
1.499	33721
1.509	33724
1.519	33725
1.529	33723
1.539	33725
1.549	33724
1.559	33724
1.569	33724
1.579	33722
1.589	33725
1.599	33724
1.609	33725
1.619	33724
1.629	33726
1.639	33725
1.649	33725
1.659	33726
1.670	33725
1.680	33723
1.689	33726
1.699	33724
1.709	33725
1.719	33725
1.729	33724
1.739	33721
1.749	33725
1.759	33726
1.769	33725
1.779	33726
1.789	33724
1.799	33723
1.809	33724
1.819	33722
1.829	33726
1.839	33727
1.849	33728
1.859	33727
1.869	33724
1.879	33723
1.889	33723
1.899	33725
1.909	33724
1.919	33723
1.929	33727
1.939	33722
1.949	33724
1.959	33725
1.969	33722
1.979	33722
1.989	33724
1.999	33722
2.009	33722
2.019	33722
2.029	33725
2.039	33724
2.049	33726
2.059	33726
2.069	33724
2.079	33723
2.089	33726
2.099	33725
2.109	33724
2.119	33723
2.129	33726
2.139	33725
2.149	33726
2.159	33725
2.169	33724
2.179	33726
2.189	33723
2.199	33723
2.209	33720
2.219	33724
2.229	33722
2.239	33724
2.249	33723
2.259	33725
2.269	33723
2.279	33723
2.289	33721
2.299	33724
2.309	33725
2.319	33726
2.329	33727
2.339	33726
2.349	33728
2.359	33724
2.369	33723
2.379	33725
2.389	33722
2.399	33723
2.409	33725
2.419	33722
2.429	33726
2.439	33724
2.449	33725
2.459	33724
2.469	33725
2.479	33726
2.489	33725
2.499	33726
2.509	33726
2.519	33724
2.529	33726
2.539	33726
2.549	33726
2.559	33725
2.569	33723
2.579	33724
2.589	33722
2.599	33724
2.609	33726
2.619	33726
2.629	33725
2.639	33727
2.649	33723
2.659	33725
2.669	33726
2.679	33724
2.689	33728
2.699	33725
2.709	33726
2.719	33727
2.729	33726
2.739	33727
2.749	33724
2.759	33725
2.769	33724
2.779	33725
2.789	33726
2.799	33726
2.809	33728
2.819	33724
2.829	33725
2.839	33725
2.849	33722
2.859	33727
2.869	33725
2.879	33727
2.889	33724
2.899	33725
2.909	33725
2.919	33725
2.929	33726
2.939	33725
2.949	33727
2.959	33724
2.969	33725
2.979	33725
2.989	33724
2.999	33727
3.009	33726
3.019	33725
3.029	33723
3.039	33724
3.049	33727
3.059	33725
3.069	33727
3.079	33726
3.089	33727
3.099	33727
3.109	33723
3.119	33722
3.129	33723
3.139	33724
3.149	33724
3.159	33724
3.169	33727
3.179	33727
3.189	33729
3.199	33724
3.209	33724
3.219	33723
3.229	33724
3.239	33726
3.249	33727
3.259	33723
3.269	33726
3.279	33725
3.289	33726
3.299	33726
3.309	33726
3.319	33726
3.329	33725
3.339	33726
3.349	33725
3.359	33724
3.369	33727
3.379	33727
3.389	33728
3.399	33728
3.409	33729
3.419	33725
3.429	33723
3.439	33725
3.449	33724
3.459	33725
3.469	33726
3.479	33727
3.489	33725
3.499	33725
3.509	33726
3.519	33726
3.529	33724
3.539	33727
3.549	33725
3.559	33726
3.569	33725
3.579	33726
3.589	33725
3.599	33725
3.609	33724
3.619	33723
3.629	33726
3.639	33725
3.649	33723
3.659	33726
3.669	33728
3.679	33723
3.689	33725
3.699	33725
3.709	33723
3.719	33723
3.729	33724
3.739	33724
3.749	33722
3.759	33722
3.769	33726
3.779	33727
3.789	33724
3.799	33725
3.809	33724
3.819	33724
3.829	33726
3.839	33723
3.849	33721
3.859	33723
3.869	33722
3.879	33723
3.889	33725
3.899	33727
3.909	33723
3.919	33723
3.929	33725
3.939	33726
3.949	33724
3.959	33726
3.969	33726
3.979	33725
3.989	33728
3.999	33723
4.009	33726
4.019	33723
4.029	33723
4.039	33723
4.049	33725
4.059	33724
4.069	33725
4.079	33728
4.089	33729
4.099	33728
4.109	33726
4.119	33725
4.129	33724
4.139	33724
4.149	33725
4.159	33724
4.169	33728
4.179	33728
4.189	33727
4.199	33724
4.209	33726
4.219	33722
4.229	33724
4.239	33727
4.249	33724
4.259	33727
4.269	33727
4.279	33726
4.289	33723
4.299	33724
4.309	33724
4.319	33725
4.329	33725
4.339	33726
4.349	33723
4.359	33729
4.369	33726
4.379	33727
4.389	33725
4.399	33722
4.409	33726
4.419	33724
4.429	33725
4.439	33726
4.449	33726
4.459	33725
4.469	33725
4.479	33726
4.489	33725
4.499	33725
4.509	33726
4.519	33725
4.529	33727
4.539	33727
4.549	33725
4.559	33725
4.569	33726
4.588	33726
4.591	33727
4.599	33725
4.609	33726
4.619	33725
4.629	33724
4.639	33724
4.649	33727
4.659	33723
4.669	33725
4.679	33726
4.689	33725
4.699	33724
4.709	33726
4.719	33723
4.729	33726
4.739	33725
4.749	33727
4.759	33722
4.769	33725
4.779	33725
4.789	33726
4.799	33724
4.809	33726
4.819	33725
4.829	33726
4.839	33728
4.849	33724
4.859	33726
4.869	33728
4.879	33727
4.889	33725
4.899	33725
4.909	33726
4.919	33726
4.929	33725
4.939	33724
4.949	33726
4.959	33726
4.969	33723
4.979	33726
4.989	33724
4.999	33723
5.009	33726
5.019	33727
5.029	33726
5.039	33726
5.049	33727
5.059	33725
5.069	33726
5.079	33721
5.089	33724
5.099	33723
5.109	33722
5.119	33724
5.129	33726
5.139	33723
5.149	33723
5.159	33725
5.169	33725
5.179	33726
5.189	33726
5.199	33726
5.209	33725
5.219	33724
5.229	33725
5.239	33723
5.249	33723
5.259	33722
5.269	33723
5.279	33725
5.289	33727
5.299	33724
5.309	33726
5.319	33724
5.329	33723
5.339	33725
5.349	33724
5.359	33727
5.369	33726
5.379	33724
5.389	33724
5.399	33725
5.409	33725
5.419	33726
5.429	33724
5.439	33724
5.449	33726
5.459	33725
5.469	33724
5.479	33727
5.489	33725
5.499	33725
5.509	33724
5.519	33726
5.529	33724
5.539	33724
5.549	33725
5.559	33724
5.569	33721
5.579	33726
5.589	33724
5.599	33723
5.609	33725
5.619	33726
5.629	33724
5.639	33725
5.649	33725
5.659	33725
5.669	33723
5.679	33726
5.689	33721
5.699	33724
5.709	33726
5.719	33727
5.729	33725
5.739	33727
5.749	33721
5.759	33723
5.769	33721
5.779	33722
5.789	33726
5.799	33724
5.809	33724
5.819	33728
5.829	33726
5.839	33721
5.849	33724
5.859	33724
5.869	33724
5.879	33724
5.889	33726
5.899	33724
5.909	33725
5.919	33725
5.929	33723
5.939	33727
5.949	33726
5.959	33725
5.969	33724
5.979	33725
5.989	33723
5.999	33726
6.009	33726
6.019	33727
6.029	33726
6.039	33728
6.049	33725
6.059	33727
6.069	33725
6.079	33724
6.089	33722
6.099	33726
6.109	33726
6.119	33722
6.129	33725
6.139	33728
6.149	33725
6.159	33728
6.169	33727
6.179	33725
6.189	33725
6.199	33723
6.209	33725
6.219	33726
6.229	33724
6.239	33728
6.249	33726
6.259	33727
6.269	33724
6.279	33727
6.289	33725
6.299	33722
6.309	33726
6.319	33724
6.329	33724
6.339	33728
6.349	33727
6.359	33726
6.369	33724
6.379	33724
6.389	33724
6.399	33725
6.409	33724
6.419	33723
6.429	33724
6.439	33727
6.449	33727
6.459	33727
6.469	33725
6.479	33724
6.489	33723
6.499	33724
6.509	33725
6.519	33726
6.529	33724
6.539	33725
6.549	33724
6.559	33724
6.569	33723
6.579	33725
6.589	33723
6.599	33725
6.609	33727
6.619	33723
6.629	33726
6.639	33726
6.649	33727
6.659	33725
6.669	33723
6.679	33725
6.689	33724
6.699	33724
6.709	33726
6.719	33725
6.729	33725
6.739	33726
6.749	33725
6.759	33728
6.769	33725
6.779	33725
6.789	33722
6.799	33726
6.809	33724
6.819	33727
6.829	33725
6.839	33726
6.849	33726
6.859	33725
6.869	33722
6.879	33727
6.889	33725
6.899	33725
6.909	33724
6.919	33724
6.929	33723
6.939	33726
6.949	33725
6.959	33725
6.969	33724
6.979	33724
6.989	33724
6.999	33725
7.009	33725
7.019	33723
7.029	33722
7.039	33727
7.049	33728
7.059	33725
7.069	33726
7.079	33725
7.089	33723
7.099	33725
7.109	33723
7.119	33723
7.129	33724
7.139	33724
7.149	33724
7.159	33725
7.169	33722
7.179	33726
7.189	33723
7.199	33725
7.209	33724
7.219	33724
7.229	33724
7.239	33726
7.249	33722
7.259	33725
7.269	33723
7.279	33724
7.289	33724
7.299	33727
7.309	33726
7.319	33727
7.329	33727
7.339	33725
7.349	33723
7.359	33723
7.369	33724
7.379	33723
7.389	33724
7.399	33726
7.409	33724
7.419	33725
7.429	33725
7.439	33727
7.449	33725
7.459	33723
7.469	33724
7.479	33725
7.489	33725
7.499	33726
7.509	33726
7.519	33727
7.529	33725
7.539	33724
7.549	33726
7.559	33728
7.569	33724
7.579	33724
7.589	33727
7.599	33726
7.609	33722
7.619	33728
7.629	33723
7.639	33724
7.649	33727
7.659	33725
7.670	33723
7.679	33726
7.689	33724
7.699	33725
7.709	33726
7.719	33725
7.729	33721
7.739	33725
7.749	33723
7.759	33724
7.769	33722
7.779	33724
7.789	33724
7.799	33724
7.809	33724
7.819	33726
7.829	33725
7.839	33723
7.849	33723
7.859	33727
7.869	33726
7.879	33726
7.889	33726
7.899	33725
7.909	33725
7.919	33725
7.929	33725
7.939	33725
7.949	33724
7.959	33725
7.969	33725
7.979	33727
7.989	33724
7.999	33724
8.009	33725
8.019	33725
8.029	33720
8.039	33724
8.049	33722
8.059	33723
8.069	33726
8.079	33725
8.089	33725
8.099	33725
8.109	33723
8.119	33723
8.129	33723
8.139	33722
8.149	33723
8.159	33725
8.169	33724
8.179	33727
8.190	33723
8.199	33725
8.209	33722
8.219	33723
8.229	33721
8.239	33725
8.249	33725
8.259	33727
8.269	33723
8.279	33727
8.289	33724
8.299	33725
8.309	33724
8.319	33724
8.329	33726
8.339	33725
8.349	33725
8.359	33727
8.369	33728
8.379	33728
8.389	33722
8.399	33725
8.409	33722
8.419	33723
8.429	33722
8.439	33726
8.449	33725
8.459	33727
8.469	33723
8.479	33727
8.489	33723
8.499	33726
8.509	33723
8.519	33727
8.529	33722
8.539	33727
8.549	33725
8.559	33722
8.569	33722
8.579	33725
8.589	33725
8.599	33725
8.609	33727
8.619	33726
8.629	33726
8.639	33726
8.649	33724
8.659	33723
8.669	33728
8.679	33728
8.689	33725
8.699	33726
8.709	33721
8.719	33725
8.729	33725
8.739	33724
8.749	33723
8.759	33725
8.769	33724
8.779	33730
8.789	33725
8.799	33723
8.809	33726
8.819	33724
8.829	33723
8.839	33723
8.849	33724
8.859	33724
8.869	33724
8.879	33726
8.889	33726
